image,size,boulders,landslides,recent,ancient,time_s,status
ohrc_image_01,136x1023,421,14,0,14,5.3,OK
ohrc_image_02,131x1024,455,21,0,21,6.3,OK
ohrc_image_03,153x1024,237,18,0,18,5.0,OK
ohrc_image_04,160x1024,283,30,1,29,6.0,OK
ohrc_image_05,136x1023,224,18,1,17,4.3,OK
ohrc_image_06,640x640,390,38,23,15,16.9,OK
ohrc_image_07.,640x640,776,27,15,12,22.5,OK
ohrc_image_08.,640x640,521,20,8,12,16.7,OK
ohrc_image_09,640x640,1054,31,9,22,28.2,OK
ohrc_image_10,640x640,1166,52,39,13,32.4,OK
ohrc_image_11,720x480,293,20,11,9,10.4,OK
