source_col_global,source_row_global,area_m2,major_axis_m,minor_axis_m,elongation,freshness_score,age_class
64.0,206.0,170.3,29.9,15.4,0.515,0.3392,ancient
47.0,922.0,159.4,24.7,11.7,0.473,0.3791,ancient
30.0,374.0,151.4,26.5,15.7,0.594,0.3537,ancient
87.0,600.0,144.9,32.0,12.4,0.389,0.3376,ancient
41.0,287.0,112.9,20.1,12.1,0.599,0.3484,ancient
64.0,952.0,79.0,28.1,7.2,0.258,0.3815,ancient
78.0,133.0,72.4,31.0,6.5,0.209,0.3696,ancient
37.0,839.0,61.3,17.8,6.4,0.358,0.3213,ancient
127.0,619.0,56.7,11.4,6.6,0.581,0.342,ancient
54.0,97.0,53.3,13.1,6.2,0.477,0.289,ancient
104.0,700.0,51.8,15.5,6.1,0.393,0.341,ancient
66.0,350.0,51.6,14.9,8.9,0.6,0.3511,ancient
94.0,814.0,44.0,12.2,6.3,0.515,0.3747,ancient
84.0,929.0,39.3,11.9,4.7,0.394,0.341,ancient
104.0,664.0,39.0,9.9,6.4,0.645,0.3411,ancient
105.0,1011.0,32.9,11.8,7.5,0.637,0.3011,ancient
69.0,623.0,30.9,8.6,5.4,0.627,0.3197,ancient
95.0,874.0,30.5,14.7,3.6,0.243,0.3228,ancient
29.0,590.0,28.4,9.1,4.8,0.524,0.3418,ancient
76.0,984.0,28.1,9.1,4.8,0.532,0.3656,ancient
7.0,744.0,27.8,9.3,5.4,0.583,0.4003,ancient
