x_pixel_global,y_pixel_global,radius_px,diameter_m,contrast,near_landslide,landslide_age
162,110,79,47.4,24.83,True,recent
78,544,76,45.6,30.61,True,ancient
370,314,71,42.6,27.18,True,recent
206,576,66,39.6,23.72,True,recent
576,362,62,37.2,22.1,True,recent
308,210,61,36.6,21.35,True,recent
480,430,56,33.6,21.06,True,recent
530,236,56,33.6,24.31,True,recent
244,460,52,31.2,23.76,True,recent
424,246,51,30.6,36.93,True,recent
504,638,49,29.4,22.63,True,recent
406,390,48,28.8,20.88,True,ancient
148,314,47,28.2,20.62,True,recent
520,64,47,28.2,27.09,True,recent
98,408,46,27.6,20.19,True,recent
576,104,44,26.4,24.2,True,recent
581,627,42,25.2,25.91,True,ancient
19,158,42,25.2,22.74,True,ancient
57,639,42,25.2,34.08,True,ancient
46,248,42,25.2,20.58,True,recent
300,528,39,23.4,26.66,True,ancient
542,164,39,23.4,20.62,True,recent
639,277,38,22.8,29.09,True,ancient
173,459,38,22.8,23.99,True,recent
120,638,37,22.2,38.43,True,ancient
600,554,36,21.6,24.29,True,recent
188,234,36,21.6,36.83,True,recent
262,166,34,20.4,29.17,True,recent
292,604,34,20.4,24.34,True,ancient
639,167,34,20.4,21.68,False,none
276,130,31,18.6,32.2,True,recent
432,124,30,18.0,26.92,True,recent
568,576,30,18.0,23.37,True,recent
260,408,30,18.0,32.66,True,recent
407,192,29,17.4,36.22,True,recent
469,281,29,17.4,31.03,True,recent
604,248,29,17.4,20.19,True,ancient
112,226,29,17.4,28.12,True,recent
246,32,28,16.8,24.16,True,recent
626,468,28,16.8,20.56,True,recent
242,112,26,15.6,29.29,True,recent
640,348,25,15.0,48.4,True,ancient
338,384,25,15.0,36.82,True,ancient
300,346,25,15.0,32.32,True,recent
160,370,25,15.0,28.98,True,recent
572,506,25,15.0,35.48,True,recent
65,54,25,15.0,31.78,True,recent
506,0,25,15.0,20.48,True,recent
586,434,24,14.4,25.3,True,recent
12,38,24,14.4,39.78,True,recent
538,292,23,13.8,23.35,True,recent
520,568,23,13.8,21.99,True,recent
298,484,23,13.8,36.34,True,ancient
232,192,23,13.8,34.17,True,recent
52,22,23,13.8,40.99,True,recent
284,304,23,13.8,23.76,True,recent
376,546,23,13.8,23.41,True,recent
372,518,22,13.2,24.98,True,recent
98,16,21,12.6,27.23,True,recent
639,62,20,12.0,40.4,True,recent
467,312,20,12.0,33.37,True,recent
282,76,20,12.0,22.04,True,recent
618,216,19,11.4,48.47,True,recent
264,94,18,10.8,27.26,True,recent
554,540,17,10.2,31.28,True,recent
