x_pixel_global,y_pixel_global,radius_px,diameter_m,contrast,near_landslide,landslide_age
506,350,79,47.4,20.23,False,none
314,530,70,42.0,20.99,True,ancient
184,424,65,39.0,21.99,True,recent
78,408,57,34.2,21.56,False,none
434,432,53,31.8,20.01,True,recent
504,576,46,27.6,22.74,True,recent
468,520,46,27.6,23.08,True,recent
492,58,43,25.8,20.14,False,none
588,596,36,21.6,30.34,False,none
638,204,36,21.6,25.14,True,ancient
533,180,34,20.4,29.64,True,recent
508,262,33,19.8,23.82,True,ancient
72,250,30,18.0,26.09,False,none
550,98,29,17.4,28.48,True,ancient
386,639,29,17.4,29.34,True,ancient
0,271,29,17.4,24.43,False,none
208,290,28,16.8,23.01,True,recent
508,490,28,16.8,22.57,True,recent
570,218,25,15.0,33.06,True,ancient
252,134,25,15.0,34.85,False,none
437,556,25,15.0,54.32,True,recent
456,2,25,15.0,27.69,False,none
157,147,25,15.0,21.14,False,none
344,604,25,15.0,27.15,True,ancient
30,254,25,15.0,33.02,False,none
252,614,25,15.0,24.76,True,ancient
372,484,23,13.8,57.67,False,none
552,614,23,13.8,20.37,False,none
24,624,22,13.2,20.74,True,ancient
420,24,20,12.0,31.33,True,recent
528,2,20,12.0,30.59,True,ancient
331,402,20,12.0,23.68,True,recent
428,59,20,12.0,25.62,False,none
350,298,20,12.0,26.65,True,recent
388,28,18,10.8,31.15,True,recent
248,260,18,10.8,21.48,False,none
382,596,17,10.2,32.33,True,ancient
284,122,17,10.2,26.57,True,recent
510,12,17,10.2,30.84,False,none
414,372,17,10.2,22.08,True,recent
466,638,17,10.2,31.64,True,recent
435,156,16,9.6,34.66,True,recent
0,548,16,9.6,20.8,True,ancient
278,431,16,9.6,21.77,True,recent
0,599,16,9.6,32.1,True,ancient
411,295,16,9.6,22.75,True,recent
269,589,16,9.6,42.08,True,ancient
182,352,16,9.6,38.82,True,recent
298,60,16,9.6,20.03,True,recent
248,188,16,9.6,47.09,False,none
22,206,16,9.6,25.33,False,none
560,250,15,9.0,61.01,True,ancient
572,120,15,9.0,23.8,True,ancient
312,150,15,9.0,28.66,True,recent
252,580,14,8.4,26.93,True,ancient
326,16,14,8.4,25.98,True,recent
58,574,13,7.8,46.42,True,ancient
108,162,12,7.2,21.89,True,recent
405,252,12,7.2,27.4,True,recent
338,339,12,7.2,27.84,True,recent
230,474,12,7.2,28.87,True,ancient
568,168,12,7.2,22.65,True,recent
612,84,12,7.2,22.53,True,ancient
113,49,12,7.2,32.37,True,ancient
108,148,12,7.2,27.87,True,recent
307,403,12,7.2,25.0,True,ancient
282,639,12,7.2,23.15,True,ancient
476,176,12,7.2,20.27,True,ancient
277,266,12,7.2,22.73,False,none
93,537,12,7.2,24.89,True,ancient
52,292,12,7.2,36.21,False,none
66,639,12,7.2,22.53,True,ancient
341,40,12,7.2,33.84,True,recent
639,60,12,7.2,43.13,True,ancient
403,123,12,7.2,34.77,True,recent
538,234,12,7.2,45.44,False,none
388,264,12,7.2,23.29,True,recent
215,159,12,7.2,106.24,False,none
594,411,12,7.2,66.09,True,ancient
597,26,12,7.2,53.01,True,ancient
170,52,12,7.2,51.23,True,ancient
