source_col_global,source_row_global,area_m2,major_axis_m,minor_axis_m,elongation,freshness_score,age_class
531.0,148.0,327.9,35.6,19.8,0.557,0.5898,recent
584.0,252.0,260.0,41.5,16.4,0.396,0.5433,ancient
466.0,470.0,181.1,37.8,11.4,0.302,0.4791,ancient
430.0,41.0,91.8,25.5,9.3,0.365,0.5913,recent
288.0,567.0,84.6,22.9,6.3,0.275,0.4104,ancient
521.0,403.0,68.3,18.8,7.4,0.397,0.6906,recent
596.0,225.0,61.2,21.1,5.8,0.277,0.5292,ancient
186.0,17.0,55.1,20.1,4.8,0.241,0.5112,ancient
362.0,385.0,50.7,13.0,6.8,0.523,0.6417,recent
140.0,77.0,50.1,19.7,4.8,0.241,0.5734,recent
538.0,356.0,48.7,15.6,6.2,0.4,0.5995,recent
534.0,335.0,45.4,13.1,5.3,0.401,0.5247,ancient
68.0,252.0,42.9,18.1,4.9,0.271,0.3574,ancient
377.0,162.0,40.9,15.6,4.2,0.267,0.5447,ancient
128.0,167.0,34.7,10.2,5.1,0.501,0.5243,ancient
348.0,83.0,30.4,10.5,4.8,0.456,0.4283,ancient
85.0,354.0,29.3,8.5,4.6,0.546,0.6134,recent
179.0,519.0,29.3,9.0,4.4,0.482,0.738,recent
365.0,512.0,28.5,10.8,4.2,0.391,0.3346,ancient
25.0,64.0,27.5,11.9,3.3,0.277,0.4308,ancient
